Age_AdultPt,Age_Children_Year_r,Freq
20,1,2
32,7,3
22,10,3
23,9,8
24,7,6
27,7,5
35,14,10
35,6,5
40,9,8
22,5,6
26,6,7
50,8,5
25,15,3
18,13,2
42,12,5
33,4,1
25,3,3
19,3,7
23,17,4
43,8,8
20,7,6
22,11,11
27,10,3
24,14,3
21,13,10
22,16,3
18,4,5
21,4,8
25,12,1
30,11,13
25,1,0
44,7,5
50,10,1
32,7,4
30,15,4
20,4,0
46,9,2
23,5,4
42,8,1
22,5,4
30,4,1
32,6,4
50,7,0
22,11,2
22,15,3
27,17,0
55,9,1
28,4,2
34,11,0
30,5,3
30,9,0
28,10,1
32,5,0
50,10,0
34,12,5
26,3,1
30,9,0
18,5,0
45,10,0
22,4,4
55,8,0
20,9,0
45,12,0
30,7,1
24,11,0
18,2,0
45,4,0
20,11,0
20,6,0
60,13,0
55,2,0
33,7,0
30,17,0
27,8,0
25,10,2
32,9,0
25,15,0
60,2,0
55,15,0
21,14,0
19,11,0
40,7,0
47,6,0
25,12,0
42,,0
40,,0
48,,0
25,,0
37,,0
30,,1
19,,
75,,
48,,
22,,
35,,
22,,
18,,
55,,
55,,
30,,
30,,
34,,
28,,
38,,
18,,
75,,
38,,
38,,
22,,
27,,
35,,
32,,
50,,
24,,
40,,
56,,
30,,
50,,
25,,
40,,
44,,
20,,
21,,
42,,
35,,
35,,
34,,
30,,
20,,
38,,
22,,
28,,
25,,
90,,
25,,
42,,
20,,
27,,
18,,
60,,
39,,
60,,
37,,
19,,
41,,
28,,
25,,
29,,
26,,
44,,
22,,
21,,
64,,
23,,
26,,
52,,
28,,
28,,
28,,
21,,
