Station,Year,Month,Cases,Deaths
Dhaka,2000,1,0,0
Dhaka,2000,2,0,0
Dhaka,2000,3,0,0
Dhaka,2000,4,0,0
Dhaka,2000,5,0,0
Dhaka,2000,6,0,0
Dhaka,2000,7,565,15
Dhaka,2000,8,2290,33
Dhaka,2000,9,951,18
Dhaka,2000,10,835,14
Dhaka,2000,11,724,11
Dhaka,2000,12,186,2
Dhaka,2001,1,0,0
Dhaka,2001,2,0,0
Dhaka,2001,3,0,0
Dhaka,2001,4,0,0
Dhaka,2001,5,5,0
Dhaka,2001,6,24,1
Dhaka,2001,7,152,0
Dhaka,2001,8,310,6
Dhaka,2001,9,655,11
Dhaka,2001,10,611,7
Dhaka,2001,11,514,14
Dhaka,2001,12,159,5
Dhaka,2002,1,0,0
Dhaka,2002,2,0,0
Dhaka,2002,3,0,0
Dhaka,2002,4,0,0
Dhaka,2002,5,0,0
Dhaka,2002,6,0,0
Dhaka,2002,7,566,12
Dhaka,2002,8,3281,28
Dhaka,2002,9,1713,10
Dhaka,2002,10,541,7
Dhaka,2002,11,121,1
Dhaka,2002,12,10,0
Dhaka,2003,1,0,0
Dhaka,2003,2,0,0
Dhaka,2003,3,0,0
Dhaka,2003,4,2,0
Dhaka,2003,5,1,0
Dhaka,2003,6,0,0
Dhaka,2003,7,4,0
Dhaka,2003,8,4,0
Dhaka,2003,9,3,0
Dhaka,2003,10,0,0
Dhaka,2003,11,372,8
Dhaka,2003,12,100,2
Dhaka,2004,1,0,0
Dhaka,2004,2,0,0
Dhaka,2004,3,1,0
Dhaka,2004,4,0,0
Dhaka,2004,5,1,0
Dhaka,2004,6,143,0
Dhaka,2004,7,1209,4
Dhaka,2004,8,1261,1
Dhaka,2004,9,511,4
Dhaka,2004,10,362,3
Dhaka,2004,11,395,1
Dhaka,2004,12,51,0
Dhaka,2005,1,1,0
Dhaka,2005,2,0,0
Dhaka,2005,3,0,0
Dhaka,2005,4,0,0
Dhaka,2005,5,0,0
Dhaka,2005,6,2,0
Dhaka,2005,7,3,0
Dhaka,2005,8,174,0
Dhaka,2005,9,337,1
Dhaka,2005,10,325,1
Dhaka,2005,11,187,2
Dhaka,2005,12,19,0
Dhaka,2006,1,0,0
Dhaka,2006,2,0,0
Dhaka,2006,3,0,0
Dhaka,2006,4,0,0
Dhaka,2006,5,0,0
Dhaka,2006,6,100,1
Dhaka,2006,7,972,1
Dhaka,2006,8,680,1
Dhaka,2006,9,211,6
Dhaka,2006,10,145,1
Dhaka,2006,11,92,1
Dhaka,2006,12,0,0
Dhaka,2007,1,0,0
Dhaka,2007,2,0,0
Dhaka,2007,3,0,0
Dhaka,2007,4,0,0
Dhaka,2007,5,0,0
Dhaka,2007,6,0,0
Dhaka,2007,7,85,0
Dhaka,2007,8,179,0
Dhaka,2007,9,163,0
Dhaka,2007,10,39,0
Dhaka,2007,11,0,0
Dhaka,2007,12,0,0
Dhaka,2008,1,0,0
Dhaka,2008,2,0,0
Dhaka,2008,3,0,0
Dhaka,2008,4,0,0
Dhaka,2008,5,0,0
Dhaka,2008,6,160,0
Dhaka,2008,7,475,0
Dhaka,2008,8,334,0
Dhaka,2008,9,184,0
Dhaka,2008,10,0,0
Dhaka,2008,11,0,0
Dhaka,2008,12,0,0
Dhaka,2009,1,0,0
Dhaka,2009,2,0,0
Dhaka,2009,3,0,0
Dhaka,2009,4,0,0
Dhaka,2009,5,1,0
Dhaka,2009,6,0,0
Dhaka,2009,7,4,0
Dhaka,2009,8,127,0
Dhaka,2009,9,188,0
Dhaka,2009,10,154,0
Dhaka,2009,11,0,0
Dhaka,2009,12,0,0
Dhaka,2010,1,0,0
Dhaka,2010,2,0,0
Dhaka,2010,3,0,0
Dhaka,2010,4,0,0
Dhaka,2010,5,0,0
Dhaka,2010,6,0,0
Dhaka,2010,7,35,0
Dhaka,2010,8,183,0
Dhaka,2010,9,165,0
Dhaka,2010,10,21,0
Dhaka,2010,11,5,0
Dhaka,2010,12,0,0
Dhaka,2011,1,0,0
Dhaka,2011,2,0,0
Dhaka,2011,3,0,0
Dhaka,2011,4,0,0
Dhaka,2011,5,0,0
Dhaka,2011,6,74,0
Dhaka,2011,7,296,1
Dhaka,2011,8,715,4
Dhaka,2011,9,131,1
Dhaka,2011,10,58,0
Dhaka,2011,11,0,0
Dhaka,2011,12,0,0
Dhaka,2012,1,0,0
Dhaka,2012,2,0,0
Dhaka,2012,3,0,0
Dhaka,2012,4,0,0
Dhaka,2012,5,0,0
Dhaka,2012,6,16,0
Dhaka,2012,7,108,0
Dhaka,2012,8,138,0
Dhaka,2012,9,262,0
Dhaka,2012,10,90,0
Dhaka,2012,11,57,1
Dhaka,2012,12,0,0
Dhaka,2013,1,0,0
Dhaka,2013,2,0,0
Dhaka,2013,3,0,0
Dhaka,2013,4,0,0
Dhaka,2013,5,4,0
Dhaka,2013,6,44,0
Dhaka,2013,7,220,0
Dhaka,2013,8,353,1
Dhaka,2013,9,495,1
Dhaka,2013,10,363,0
Dhaka,2013,11,212,0
Dhaka,2013,12,58,0
Dhaka,2014,1,15,0
Dhaka,2014,2,7,0
Dhaka,2014,3,2,0
Dhaka,2014,4,0,0
Dhaka,2014,5,8,0
Dhaka,2014,6,9,0
Dhaka,2014,7,82,0
Dhaka,2014,8,80,0
Dhaka,2014,9,76,0
Dhaka,2014,10,63,0
Dhaka,2014,11,22,0
Dhaka,2014,12,11,0
Dhaka,2015,1,0,0
Dhaka,2015,2,0,0
Dhaka,2015,3,2,0
Dhaka,2015,4,6,0
Dhaka,2015,5,10,0
Dhaka,2015,6,28,0
Dhaka,2015,7,171,2
Dhaka,2015,8,765,1
Dhaka,2015,9,965,1
Dhaka,2015,10,869,0
Dhaka,2015,11,271,2
Dhaka,2015,12,75,0
Dhaka,2016,1,9,0
Dhaka,2016,2,2,0
Dhaka,2016,3,13,0
Dhaka,2016,4,0,0
Dhaka,2016,5,0,0
Dhaka,2016,6,0,0
Dhaka,2016,7,0,0
Dhaka,2016,8,0,0
Dhaka,2016,9,0,0
Dhaka,2016,10,0,0
Dhaka,2016,11,0,0
Dhaka,2016,12,0,0
